name;analogue;classes
ClickSoftware ClickMobile;Система Управления Мобильными Специалистами ОПТИМУМ (ОПТИМУМ СУМС) (7782);EAM-системы (управление активами предприятия)|Управление ТОиР
Clicksoft WFM;Система автоматизированного эксплуатационного управления и учета средств связи и абонентов АРГУС (2791);Системы управления бизнес-процессами|Системы мониторинга и управления сетей и средств связи|Телекоммуникации|EAM-системы (управление активами предприятия)|Средства управления ИТ-инфраструктурой
Cloudera CDP;Arenadata Hadoop Platform (ADH) (6355)|Linkage Navigator (12465)|RT.DataLake (10729);СУБД и средства работы с данными|Банки и финансы|Колл-центры
Cloudera HDP;RT.DataLake (10729);СУБД и средства работы с данными
CloudFlare DDoS Protection;StormWall DDoS Protection (12322);Средства защиты от DDOS-атак
CloudHSS9860;Домашний регистр местоположения / регистр абонентских данных PROTEI HLR/HSS (6182);Телекоммуникации|Сетевое оборудование
CloudZero;Knowledge Space (13092);ПО для функциональных сотрудников/подразделений|Системы управления бизнес-процессами|Системы мониторинга и управления|Средства прикладной разработки NoCode/LowCode|Базы знаний
CMS-8200 HSS от Nokia;Домашний регистр местоположения / регистр абонентских данных PROTEI HLR/HSS (6182);Телекоммуникации|Сетевое оборудование
CNC-Calc;Программный комплекс ADEM-VX версии 2020 в составе модулей: PDM, CAD, CAM, CAPP, SIM, GPP, NTR, I-RIS (Программное обеспечение ADEM-VX) (12735);CAD/ECAD/CAM/CAE-системы
CODESYS;Система реального времени для промышленных контроллеров (СРВК) (в т.ч. TREI, DevLink, ОВЕН и др.) (5769)|Среда динамического моделирования технических систем SimInTech (2379);Встроенные ОС|ПО промышленных микроконтроллеров|Моделирование технических систем и объектов
